MF	TruePoo_Full1	TruePoo_Full2	TruePoo_Full3	TruePoo_Half1	TruePoo_Half2	TruePoo_Half3	PS_A	PS_B	PS_C	ALOHA_A	ALOHA_B	ALOHA_C	LW_A	LW_B	LW_C	PPL_ALOHA_A	PPL_ALOHA_B	PPL_ALOHA_C	PPL_PS_A	PPL_PS_B	PPL_PS_C
2-Hydroxy-4-(methylthio)butyric_acid	8127787.070830396	8718126.920483021	11265859.030265965	11740865.90989498	9226035.673744213	11856709.029495016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Sulfopyruvic Acid	420871	492507	415731	434580	264526	222432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4-Hydroxyisoleucine	1079027.126902241	866908.8649867055	1120315.7052441542	996959.651957814	1007526.7824374	1066282.5792827948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetylglutamic acid	5412685	5921881	5456825	5889196	5116136	1956340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetylglycine	3515334	4082742	2542140	4221040	4023988	4081362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aconitic Acid	15787316	12394864	10492650	13997118	11949436	9083870	NA	NA	NA	NA	NA	NA	NA	NA	NA	388217	110242	460964	647364	420542	458857
Allopurinol	5078975.329624691	6026991.604944451	4831521.694356225	5046361.522322769	5251868.426204214	5779115.859839699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amino Propanesulfonic Acid	2479069	2408201	2494745	2597926	2711006	2525562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMP	1173652	1106505	1172197	962880	889480	804950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Anserine	2396291.6593657196	2059540.3975763936	1958324.983834804	1619303.7173307524	2772169.8396376166	2053762.4964301975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Butyrylglycine	5326615	5235258	5258417	5795426	7047344	7437714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cAMP	11019088.094312722	9650405.011530722	12322848.06201372	12174624.11331064	10360699.28202455	11364935.65392194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carnosine	4192478	4461230	4717396	4192886	4552542	4579276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cGMP	3124706.669293265	2994735.363551396	2986534.398486847	3030638.6977690915	3244051.195607716	3021302.9721046356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cyclic diGMP	381848	269121	240445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cysteic Acid	1695498	1623742	1594063	1468908	1430752	1602316	667787	579676	1678581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cysteinesulfinic acid	447185	403914	478253	316414	249482	440274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHPS	17277308	15551170	16930946	17789808	18601168	18797114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ethanesulfonic Acid	14116526	14375641	13908760	14420304	14742160	15638154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ethyl Dihydroxybenzoate	3981318	4092031	4130384	3817708	3852158	4393132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fructose 6 phosphate	1065201	1112343	924515	1255712	288018	833576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glucose 1 phosphate	1065201	1112343	924515	1255712	288018	833576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glucose 6 phosphate	659123	657069	484939	525778	486280	272848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glutamylphenylalanine	8604247.66123261	7830922.064651927	9224601.504348194	8816331.466477836	7970870.881131016	9101189.216147551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
glycerol 3 phosphate	836791	717869	599993	730468	730826	439968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GMP	384115	359631	42096	161372	164496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hypoxanthine	10305944.962207958	9524107.789180538	11294213.659489883	12225207.862104764	13925425.426245231	13541010.723627754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Imidazoleacrylic Acid	8807004	7602981	6581910	9473536	10291132	7178012	NA	NA	NA	2353998	3970765	2442636	2002307	3396132	2850845	NA	NA	NA	NA	NA	NA
Indole 3 carbinol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	456141	450255	741887	NA	NA	NA	NA	NA	NA
Inosine	2850600	3185111	3387419	2727778	3075672	3322714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Isethionic Acid	17631598	17022848	18432030	17029816	19341790	18957888	NA	NA	NA	1667081	1520085	2964617	NA	NA	NA	NA	NA	NA	NA	NA	NA
Keto-?-(methylthio)butyric acid	1549294.786058306	1671066.118001351	1694600.712171391	1559708.5425714003	1619552.811371457	1569145.4772016308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ketoglutaric Acid	NA	NA	NA	NA	NA	NA	NA	NA	NA	2594344	2561578	2417437	NA	NA	NA	1050235	643978	959396	660240	480383	1037340
L-Pyroglutamic acid	22743982	21517126	21845260	23372584	22398254	22077564	NA	NA	NA	NA	NA	NA	NA	NA	NA	21668774	21540382	21622328	6543074	4351397	8017369
Lipoic Acid	772536	854574	809245	708588	866594	896368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malic Acid	NA	NA	NA	NA	NA	NA	NA	NA	NA	82324104	82361872	82619648	NA	NA	NA	NA	NA	NA	NA	NA	NA
MESNA (Sodium 2-mercaptoethanesulfonate)	7686955	7756097	7047229	8726156	8636362	8444854	7862480	9878884	65435656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
N-Acetylmuramic acid	3329782	3835350	3729039	3050168	3384950	2966350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NAD	177508	151548	75378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Propanesulfonate	14627002	14062148	2503125	13995480	13977872	13236262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Propionylglycine	7502026	7398067	7278883	7647096	7748456	8110154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Resorcylic Acid	5627308	3210771	1926205	8167926	6549928	6434494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	240010	176803	374452
Riboflavin Monophosphate	318337	149386	55511	291782	106816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ribose 5 phosphate	163248	71958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salicylic Acid	19470084	18253244	22051814	20939104	19385680	22137278	NA	NA	NA	17596654	16729924	20090206	NA	NA	NA	641018	647852	670245	704441	643855	936888
Succinic semialdehyde	844038886.9360535	939194819.9274598	1004615386.3912424	1057861336.6598784	956606321.7842094	1078392040.5434206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sulfanilic Acid	3988129.767573904	3201418.8017008537	3870391.16412952	4053699.352066656	3939898.3006369937	4335864.973995175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sulfoacetic Acid	NA	NA	NA	NA	NA	NA	97611008	92024408	182221920	104317176	103158864	180597008	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sulfolactic Acid	NA	NA	NA	NA	NA	NA	1115412	1135785	2742509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Taurine	NA	NA	NA	NA	NA	NA	NA	NA	59587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Threonic acid	13276418	11515300	10194328	15162984	13221462	11654642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thymidine	453682	422003	600927	1113504	421524	1096356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thymine	14406773	8324188	13742464	9988274	23247168	16057880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UDP-glucosamine	587060	618446	573766	493324	474732	348822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UDP-glucose	660481	491349	507135	496132	533386	371574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uracil	6516748.174224233	5358868.845919624	7563974.5288379565	7612915.093951715	8874055.757299	6920269.934642355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Uridine	1386485	1585495	1300808	1187054	1445226	890454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
