Compound,z,EE.adjust.lod,EE.adjust.loq
(3-Carboxypropyl)trimethylammonium (TMAB),1,0.013500593878584245,0.02168406622514007
4-Hydroxyisoleucine,1,0.3082249543096554,0.5821173329342911
5-Methylcytosine,1,0.04941433064776717,0.08554826861501495
6-Methyladenine,1,0.024864032414378037,0.04532158364581163
Adenine,1,0.2888062279688927,0.542503123982309
Adenosine,1,0.17737961307271477,0.4223766926705906
Alanine,1,2.083743877490496,3.2644394408434003
Allopurinol,-1,1.4672338605709787,2.552885008579905
Aminobutyric Acid,1,0.8362427188772307,1.5802080752929943
AMP,-1,0.03780656408028197,0.08969755723360885
Argininosuccinic Acid,1,0.008462631310422939,0.021008132409423164
Arsenobetaine,1,0.0017000574198600372,0.003567110562986035
Asparagine,1,0.5988262815426485,1.0833542937143978
Aspartic acid,1,3.810661466494632,5.734700811737626
beta-Alanine,1,1.4311421578966501,2.1839164886708273
beta-Glutamic acid,1,1.1359538242857585,1.7452397925441554
Betaine,1,0.48501960323306514,0.9796854516011387
Betonicine,1,0.006902394936922213,0.011591106329391972
Butyryl-L-carnitine,1,0.011168347407603174,0.021046527571590038
cAMP,-1,0.011045307967323654,0.029199898959837642
Carnosine,1,0.04331766960026682,0.08967736455169177
Citrulline,1,1.7519241661301312,2.7774071751527973
Creatine,1,0.05277646374332293,0.07952999683311827
Cystine,1,2.3152077048222504,4.87329826766135
Cytidine,1,0,0
Cytosine,1,0.05860969555471102,0.09628420580496325
Dimethyl Glycine,1,0.8675911820965648,1.6564056124379545
Dimethylsulfonioacetate (DMS-Ac),1,1.870046432832116e-4,4.4269658237425236e-4
DMSP,1,1.518234864301335e-4,3.7686534004963335e-4
Ectoine,1,0.03208988346131313,0.0627932776182608
Glucosamine,1,0.27124425764368626,0.5582288729461533
Glutamic acid,1,2.2822382792685425,3.3991349692739687
Glutamine,1,0.02974967154083808,0.053960446388540376
Glutamylphenylalanine,1,0.017452547727147237,0.04071928361438066
glycerol 3 phosphate,-1,0.7813227183995075,1.9398466215183932
Glycerophosphocholine,1,0.32713795816286995,0.7005047965419828
Gonyol,1,0.2377809175526816,0.5346853192185143
Guanine,1,0.4039658671499831,0.6532766648861295
Guanosine,1,0.24403384283628457,0.5734350483469774
Histidine,1,0.8218719588088226,1.5579644138229383
Homarine,1,0.20468190873321315,0.43771017528496003
Homoserine,1,0.20979262866759849,0.3495402466493313
Hordenine,1,0.07016937886399248,0.1178925443872804
Hydroxyectoine,1,0.00852249168399221,0.013599795718211445
Hydroxylysine,1,0.004092334227135568,0.010818688468964293
Hypoxanthine,1,0.5231249948206235,1.1455984737472966
Imidazoleacrylic Acid,-1,0.899078852415075,1.6687378971952966
Inosine,-1,0,0
L-Pyroglutamic acid,-1,19.83635364360575,34.54752579336472
Lysine,1,1.7655955744234435,2.779239599063238
Melamine,1,0.4285860491216512,0.7565924341143886
Methionine Sulfoxide,1,0.19117647516354475,0.3228948777895386
Methylmalonyl carnitine,1,0.007495138472082315,0.012425086141286894
Muramic Acid,1,0.056263027356497713,0.10533702454625848
N(e)-Acetyl-Lysine,1,0.01832921319537517,0.03491668447527783
Ophthalmic Acid,1,0.027123665866346944,0.05993279251843924
Ornithine,1,7.440764499532442,10.216467365682117
Proline,1,0.5796792749153347,0.9202740885850487
Riboflavin Monophosphate,1,0,0
Salicylic Acid,-1,21.416633386233915,40.012169803454334
Sarcosine,1,0.39333570569322346,0.749926893409319
Serine,1,4.809996593580765,8.344912620413176
Stachydrine hydrochloride,1,0.027173082729741126,0.05224138110045839
Threonine,1,0.2451866029696059,0.4037990708148317
trans Hydroxyl proline,1,0.04635814038056137,0.07117450340388573
Trigonelline,1,0.06604906665781647,0.10641111585467002
Trimethylamine N-oxide,1,0.1448905533447492,0.19357300071713526
Trimethylammonium Propionate (TMAP),1,0.01693989332463342,0.030300836844826342
Tyrosine,1,1.0222273620903373,1.6933251421151263
